FileIndex,Category
1,OBAMA_PRIMARY2008
2,OBAMA_PRIMARY2008
3,OBAMA_PRIMARY2008
4,OBAMA_PRIMARY2008
5,OBAMA_PRIMARY2008
6,OBAMA_PRIMARY2008
7,OBAMA_PRIMARY2008
8,OBAMA_PRIMARY2008
9,OBAMA_PRIMARY2008
10,OBAMA_PRIMARY2008
11,OBAMA_PRIMARY2008
12,OBAMA_PRIMARY2008
13,OBAMA_PRIMARY2008
14,OBAMA_PRIMARY2008
15,OBAMA_PRIMARY2008
16,OBAMA_PRIMARY2008
17,OBAMA_PRIMARY2008
18,OBAMA_PRIMARY2008
19,OBAMA_PRIMARY2008
20,OBAMA_PRIMARY2008
21,OBAMA_PRIMARY2008
22,OBAMA_PRIMARY2008
23,OBAMA_PRIMARY2008
24,OBAMA_PRIMARY2008
25,OBAMA_PRIMARY2008
26,OBAMA_PRIMARY2008
27,OBAMA_PRIMARY2008
28,OBAMA_PRIMARY2008
29,OBAMA_PRIMARY2008
30,OBAMA_PRIMARY2008
31,OBAMA_PRIMARY2008
32,OBAMA_PRIMARY2008
33,OBAMA_PRIMARY2008
34,OBAMA_PRIMARY2008
35,OBAMA_PRIMARY2008
36,OBAMA_PRIMARY2008
37,OBAMA_PRIMARY2008
38,OBAMA_PRIMARY2008
39,OBAMA_PRIMARY2008
40,OBAMA_PRIMARY2008
41,OBAMA_PRIMARY2008
42,OBAMA_PRIMARY2008
43,OBAMA_PRIMARY2008
44,OBAMA_PRIMARY2008
45,OBAMA_PRIMARY2008
46,OBAMA_PRIMARY2008
47,OBAMA_PRIMARY2008
48,OBAMA_PRIMARY2008
49,OBAMA_PRIMARY2008
50,OBAMA_PRIMARY2008
51,OBAMA_PRIMARY2008
52,OBAMA_PRIMARY2008
53,OBAMA_PRIMARY2008
54,OBAMA_PRIMARY2008
55,OBAMA_PRIMARY2008
56,OBAMA_PRIMARY2008
57,OBAMA_PRIMARY2008
58,OBAMA_PRIMARY2008
59,OBAMA_PRIMARY2008
60,OBAMA_PRIMARY2008
61,OBAMA_PRIMARY2008
62,OBAMA_PRIMARY2008
63,OBAMA_PRIMARY2008
64,OBAMA_PRIMARY2008
65,OBAMA_PRIMARY2008
66,OBAMA_PRIMARY2008
67,OBAMA_PRIMARY2008
68,OBAMA_PRIMARY2008
69,OBAMA_PRIMARY2008
70,OBAMA_PRIMARY2008
71,OBAMA_PRIMARY2008
72,OBAMA_PRIMARY2008
73,OBAMA_PRIMARY2008
74,OBAMA_PRIMARY2008
75,OBAMA_PRIMARY2008
76,OBAMA_PRIMARY2008
77,OBAMA_PRIMARY2008
78,OBAMA_PRIMARY2008
79,OBAMA_PRIMARY2008
80,OBAMA_PRIMARY2008
81,OBAMA_PRIMARY2008
82,OBAMA_PRIMARY2008
83,OBAMA_PRIMARY2008
84,OBAMA_PRIMARY2008
85,OBAMA_PRIMARY2008
86,OBAMA_PRIMARY2008
87,OBAMA_PRIMARY2008
88,OBAMA_PRIMARY2008
89,OBAMA_PRIMARY2008
90,OBAMA_PRIMARY2008
91,OBAMA_PRIMARY2008
92,OBAMA_PRIMARY2008
93,OBAMA_PRIMARY2008
94,OBAMA_PRIMARY2008
95,OBAMA_PRIMARY2008
96,OBAMA_PRIMARY2008
97,OBAMA_PRIMARY2008
98,OBAMA_PRIMARY2008
99,OBAMA_PRIMARY2008
100,OBAMA_PRIMARY2008
101,OBAMA_PRIMARY2008
102,OBAMA_PRIMARY2008
103,OBAMA_PRIMARY2008
104,OBAMA_PRIMARY2008
105,OBAMA_PRIMARY2008
106,OBAMA_PRIMARY2008
107,OBAMA_PRIMARY2008
108,OBAMA_PRIMARY2008
109,OBAMA_PRIMARY2008
110,OBAMA_PRIMARY2008
111,OBAMA_PRIMARY2008
112,OBAMA_PRIMARY2008
113,OBAMA_PRIMARY2008
114,OBAMA_PRIMARY2008
115,OBAMA_PRIMARY2008
116,OBAMA_PRIMARY2008
117,OBAMA_PRIMARY2008
118,OBAMA_PRIMARY2008
119,OBAMA_PRIMARY2008
120,OBAMA_PRIMARY2008
121,OBAMA_PRIMARY2008
122,OBAMA_PRIMARY2008
123,OBAMA_PRIMARY2008
124,OBAMA_PRIMARY2008
125,OBAMA_PRIMARY2008
126,OBAMA_PRIMARY2008
127,OBAMA_PRIMARY2008
128,OBAMA_PRIMARY2008
129,OBAMA_PRIMARY2008
130,OBAMA_PRIMARY2008
131,OBAMA_PRIMARY2008
132,OBAMA_PRIMARY2008
133,OBAMA_PRIMARY2008
134,OBAMA_PRIMARY2008
135,OBAMA_PRIMARY2008
136,OBAMA_PRIMARY2008
137,OBAMA_PRIMARY2008
138,OBAMA_PRIMARY2008
139,OBAMA_PRIMARY2008
140,OBAMA_PRIMARY2008
141,OBAMA_PRIMARY2008
142,OBAMA_PRIMARY2008
143,OBAMA_PRIMARY2008
144,OBAMA_PRIMARY2008
145,OBAMA_PRIMARY2008
146,OBAMA_PRIMARY2008
147,OBAMA_PRIMARY2008
148,OBAMA_PRIMARY2008
149,OBAMA_PRIMARY2008
150,OBAMA_PRIMARY2008
151,OBAMA_PRIMARY2008
152,OBAMA_PRIMARY2008
153,OBAMA_PRIMARY2008
154,OBAMA_PRIMARY2008
155,OBAMA_PRIMARY2008
156,OBAMA_PRIMARY2008
157,OBAMA_PRIMARY2008
158,OBAMA_PRIMARY2008
159,OBAMA_PRIMARY2008
160,OBAMA_PRIMARY2008
161,OBAMA_PRIMARY2008
162,OBAMA_PRIMARY2008
163,OBAMA_PRIMARY2008
164,OBAMA_PRIMARY2008
165,OBAMA_PRIMARY2008
166,OBAMA_PRIMARY2008
167,OBAMA_PRIMARY2008
168,OBAMA_PRIMARY2008
169,OBAMA_PRIMARY2008
170,OBAMA_PRIMARY2008
171,OBAMA_PRIMARY2008
172,OBAMA_PRIMARY2008
173,OBAMA_PRIMARY2008
174,OBAMA_PRIMARY2008
175,OBAMA_PRIMARY2008
176,OBAMA_PRIMARY2008
177,OBAMA_PRIMARY2008
178,OBAMA_PRIMARY2008
179,OBAMA_PRIMARY2008
180,OBAMA_PRIMARY2008
181,OBAMA_PRIMARY2008
182,OBAMA_PRIMARY2008
183,OBAMA_PRIMARY2008
184,OBAMA_PRIMARY2008
185,OBAMA_PRIMARY2008
186,OBAMA_PRIMARY2008
187,OBAMA_PRIMARY2008
188,OBAMA_PRIMARY2008
189,OBAMA_PRIMARY2008
190,OBAMA_PRIMARY2008
191,OBAMA_PRIMARY2008
192,OBAMA_PRIMARY2008
193,OBAMA_PRIMARY2008
194,OBAMA_PRIMARY2008
195,OBAMA_PRIMARY2008
196,OBAMA_PRIMARY2008
197,OBAMA_PRIMARY2008
198,OBAMA_PRIMARY2008
199,OBAMA_PRIMARY2008
200,OBAMA_PRIMARY2008
201,OBAMA_PRIMARY2008
202,OBAMA_PRIMARY2008
203,OBAMA_PRIMARY2008
204,OBAMA_PRIMARY2008
205,OBAMA_PRIMARY2008
206,OBAMA_PRIMARY2008
207,OBAMA_PRIMARY2008
208,OBAMA_PRIMARY2008
209,OBAMA_PRIMARY2008
210,OBAMA_PRIMARY2008
211,OBAMA_PRIMARY2008
212,OBAMA_PRIMARY2008
213,OBAMA_PRIMARY2008
214,OBAMA_PRIMARY2008
215,OBAMA_PRIMARY2008
216,OBAMA_PRIMARY2008
217,OBAMA_PRIMARY2008
218,OBAMA_PRIMARY2008
219,OBAMA_PRIMARY2008
220,OBAMA_PRIMARY2008
221,OBAMA_PRIMARY2008
222,OBAMA_PRIMARY2008
223,OBAMA_PRIMARY2008
224,OBAMA_PRIMARY2008
225,OBAMA_PRIMARY2008
226,OBAMA_PRIMARY2008
227,OBAMA_PRIMARY2008
228,OBAMA_PRIMARY2008
229,OBAMA_PRIMARY2008
230,OBAMA_PRIMARY2008
231,OBAMA_PRIMARY2008
232,OBAMA_PRIMARY2008
233,OBAMA_PRIMARY2008
234,OBAMA_PRIMARY2008
235,OBAMA_PRIMARY2008
236,OBAMA_PRIMARY2008
237,OBAMA_PRIMARY2008
238,OBAMA_PRIMARY2008
239,OBAMA_PRIMARY2008
240,OBAMA_PRIMARY2008
241,OBAMA_PRIMARY2008
242,OBAMA_PRIMARY2008
243,OBAMA_PRIMARY2008
244,OBAMA_PRIMARY2008
245,OBAMA_PRIMARY2008
246,OBAMA_PRIMARY2008
247,OBAMA_PRIMARY2008
248,OBAMA_PRIMARY2008
249,OBAMA_PRIMARY2008
250,OBAMA_PRIMARY2008
251,OBAMA_PRIMARY2008
252,OBAMA_PRIMARY2008
253,OBAMA_PRIMARY2008
254,OBAMA_PRIMARY2008
255,OBAMA_PRIMARY2008
256,OBAMA_PRIMARY2008
257,OBAMA_PRIMARY2008
258,OBAMA_PRIMARY2008
259,OBAMA_PRIMARY2008
260,OBAMA_PRIMARY2008
261,OBAMA_PRIMARY2008
262,OBAMA_PRIMARY2008
263,OBAMA_PRIMARY2008
264,OBAMA_PRIMARY2008
265,OBAMA_PRIMARY2008
266,OBAMA_PRIMARY2008
267,OBAMA_PRIMARY2008
268,OBAMA_PRIMARY2008
269,OBAMA_PRIMARY2008
270,OBAMA_PRIMARY2008
